id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7
20170113185,1.0,0.0,0.0,0.0,0.0,4.0,4.0
20170158300,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20170058978,0.0,1.0,0.0,0.0,0.0,1.0,3.0
20170108962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170112811,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20180164446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170143513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170113891,0.0,0.0,0.0,0.0,1.0,0.0,2.0
20170164809,0.0,0.0,0.0,0.0,0.0,1.0,2.0
20170129579,1.0,1.0,0.0,0.0,0.0,2.0,2.0
20170024559,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20170130337,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20170133007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180013218,1.0,1.0,0.0,0.0,0.0,1.0,2.0
20170111663,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20170111289,1.0,1.0,0.0,0.0,0.0,3.0,4.0
20170152334,1.0,2.0,0.0,0.0,0.0,5.0,4.0
20170157368,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20170111206,0.0,0.0,,,,1.0,4.0
20170110245,0.0,0.0,0.0,0.0,0.0,3.0,3.0
20170015658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170114066,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20180059754,0.0,1.0,0.0,0.0,0.0,5.0,5.0
20170114039,0.0,1.0,0.0,0.0,0.0,1.0,4.0
20170155130,1.0,1.0,0.0,0.0,1.0,1.0,3.0
20170195396,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20170144931,1.0,1.0,0.0,0.0,,1.0,4.0
20170113766,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2016094066,1.0,0.0,0.0,1.0,1.0,1.0,2.0
20170061991,2.0,1.0,0.0,1.0,0.0,4.0,5.0
20170073517,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20160157990,2.0,2.0,1.0,0.0,0.0,3.0,5.0
20170109549,0.0,1.0,0.0,0.0,0.0,1.0,5.0
20170059053,0.0,0.0,0.0,0.0,0.0,1.0,4.0
11500456,2.0,2.0,0.0,0.0,1.0,5.0,5.0
20170109941,2.0,2.0,0.0,1.0,0.0,2.0,5.0
20170023631,1.0,0.0,,,,5.0,1.0
20180065054,1.0,0.0,0.0,0.0,1.0,1.0,2.0
20160155708,,,,,,5.0,
20170195538,0.0,0.0,0.0,0.0,1.0,1.0,3.0
11514190,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20170026858,,,0.0,0.0,1.0,,5.0
20170078596,2.0,1.0,0.0,0.0,0.0,1.0,4.0
20170009712,1.0,0.0,0.0,0.0,0.0,1.0,2.0
20170160793,1.0,,0.0,0.0,0.0,1.0,4.0
20180161810,0.0,0.0,0.0,0.0,0.0,2.0,1.0
20170108078,2.0,2.0,,,,,
2016088480,2.0,2.0,0.0,0.0,0.0,4.0,5.0
20160125825,2.0,2.0,0.0,1.0,1.0,3.0,5.0
