id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20170058655,0.0,1,1,1.0,1.0
20170109324,0.0,0,1,1.0,1.0
20170200235,0.0,0,3,3.0,3.0
20170024290,0.0,0,2,0.0,1.0
20170016539,2.0,0,2,1.0,0.0
20170193355,2.0,2,3,3.0,3.0
20170110227,0.0,0,1,3.0,1.0
20170019512,2.0,2,3,3.0,2.0
20170018097,0.0,1,1,2.0,2.0
20170112348,1.0,1,1,0.0,0.0
20170022071,2.0,0,0,3.0,0.0
20170157420,4.0,4,5,5.0,4.0
20170015291,2.0,1,1,1.0,1.0
20170027630,1.0,1,2,1.0,1.0
20170110183,2.0,0,3,1.0,1.0
20170024479,1.0,1,1,1.0,1.0
20170073034,,2,4,4.0,5.0
2016090227,3.0,0,2,1.0,2.0
2016084702,0.0,0,1,1.0,0.0
20170141214,2.0,0,2,1.0,0.0
20170027158,0.0,0,0,0.0,0.0
20170061679,1.0,1,2,,3.0
11412497,1.0,3,3,3.0,3.0
20170018936,0.0,1,1,1.0,1.0
20170017797,0.0,0,0,1.0,0.0
20170059376,0.0,1,1,2.0,1.0
20170203827,1.0,2,2,3.0,3.0
20170101451,0.0,0,0,1.0,4.0
20170164380,2.0,1,1,4.0,2.0
20160121307,1.0,2,2,2.0,1.0
20170071559,1.0,1,1,3.0,
