id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,errors-question10,errors-question11,errors-question12
20180071150,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20180124674,0.0,0.0,0.0,3.0,,,3.0,2.0,,2.0,2.0,
2016036920,7.0,2.0,,,,,,,,,,
20180133717,0.0,2.0,1.0,,,,2.0,2.0,,,,
20180035977,1.0,0.0,0.0,5.0,,,0.0,1.0,2.0,1.0,2.0,2.0
20180018671,1.0,1.0,,2.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0
20190176594,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20180021597,1.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,,,,
11500456,1.0,0.0,0.0,6.0,1.0,4.0,,,,,,
20180024991,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
20180036277,2.0,2.0,1.0,,,,1.0,3.0,1.0,0.0,2.0,
20180056171,3.0,2.0,1.0,,,,,,,,,
20180030470,1.0,0.0,0.0,,,,,,,,,
20180036132,1.0,2.0,1.0,,,,3.0,3.0,3.0,4.0,1.0,1.0
20180037176,4.0,4.0,1.0,,,,2.0,1.0,1.0,0.0,0.0,1.0
20180039377,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
20180026190,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
20170026858,0.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0
20180112931,1.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0
20180132219,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,
20180035832,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
20170106171,7.0,4.0,0.0,,,,,,,,,
20180131516,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0
20180038754,1.0,1.0,0.0,5.0,3.0,,4.0,,0.0,2.0,2.0,
20180089379,0.0,4.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0
20180022235,,,1.0,,,,2.0,,,,,
20170060555,3.0,3.0,1.0,,,,3.0,2.0,3.0,1.0,2.0,1.0
20170166812,2.0,2.0,1.0,,2.0,,3.0,2.0,4.0,,,
20180068753,1.0,3.0,0.0,,,,4.0,4.0,3.0,3.0,3.0,3.0
20170061991,0.0,2.0,,3.0,2.0,,5.0,4.0,4.0,,,
20170129523,0.0,0.0,0.0,2.0,1.0,,2.0,0.0,1.0,0.0,0.0,0.0
20170173791,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,,1.0,
20180043852,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
20190074093,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,
20160157990,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,
20180104653,0.0,2.0,0.0,,,,,,4.0,,4.0,
20170132538,1.0,1.0,1.0,,,,,,,,,
20170156164,,,0.0,,,,3.0,1.0,2.0,0.0,0.0,0.0
20170157822,0.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0
20170024399,1.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0
20170041157,2.0,,,,,,4.0,3.0,3.0,3.0,1.0,
20180034657,0.0,2.0,0.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,
20160131081,1.0,1.0,0.0,,,,3.0,,,,,
20170161173,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,4.0,,,
20160155708,1.0,2.0,1.0,5.0,,,5.0,5.0,3.0,,,
11410085,1.0,2.0,1.0,,,,5.0,3.0,,,,
20180098000,0.0,1.0,1.0,,,,1.0,4.0,,,,
20170111583,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
20170200825,0.0,1.0,0.0,2.0,1.0,,4.0,1.0,4.0,4.0,5.0,5.0
20180064979,1.0,0.0,0.0,2.0,,,1.0,1.0,0.0,0.0,2.0,0.0
20180034817,2.0,0.0,0.0,2.0,,,2.0,0.0,4.0,4.0,4.0,4.0
20170008072,5.0,2.0,1.0,5.0,3.0,,,,3.0,,,
20170032470,1.0,0.0,2.0,7.0,,,,,5.0,1.0,1.0,3.0
20180039770,1.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0
11316792,1.0,1.0,0.0,4.0,,,5.0,,,,,
2016091921,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,,,,
20170012816,1.0,1.0,0.0,2.0,1.0,4.0,,,1.0,,,
20180037917,1.0,0.0,0.0,0.0,2.0,2.0,,,,,,
20180102238,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,
20170168970,3.0,3.0,1.0,5.0,6.0,,,,3.0,4.0,3.0,4.0
20180035430,0.0,0.0,0.0,,,,1.0,0.0,3.0,3.0,,
20170006210,0.0,1.0,0.0,,,,,,,,,
